,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Jeff Skinner,18,CAR,RW,0.77,0.38,0.39,2.62,215,14.4,400,52.8,1.2,102,53.4,46.6,16:44,1372,3:11,82,31,25,6,32,20,12,0.073,0.146,63
Alexander Burmistrov,19,ATL,C,0.27,0.08,0.19,1.24,92,6.5,162,55.6,-3.3,98.5,55.9,44.1,13:13,978,0:18,74,6,6,0,14,13,0,0,0,20
Cam Fowler,19,ANA,D,0.53,0.13,0.39,1.62,123,8.1,255,48.2,-5.2,98.2,52.4,47.6,22:08,1682,3:37,76,10,4,6,30,13,17,0.079,0.224,40
Evander Kane,19,ATL,C,0.59,0.26,0.33,3.21,234,8.1,369,61.8,-2.4,97.8,54.4,45.6,17:52,1304,2:16,73,19,15,4,24,20,4,0.055,0.055,43
Jacob Josefson,19,NJD,C,0.36,0.11,0.25,1.11,31,9.7,55,54.5,-5.4,102.8,58,42,13:14,371,1:45,28,3,3,0,7,4,3,0,0.107,10
Magnus Paajarvi,19,EDM,LW,0.43,0.19,0.24,2.25,180,8.3,316,56.6,1.9,98.7,51.3,48.7,15:23,1231,1:50,80,15,12,3,19,13,6,0.038,0.075,34
Nick Leddy,19,CHI,D,0.15,0.09,0.07,0.8,37,10.8,68,54.4,-5.3,98.1,62.2,37.8,14:19,658,0:12,46,4,4,0,3,2,1,0,0.022,7
Oliver Ekman-Larsson,19,PHX,D,0.23,0.02,0.21,1.04,50,2,117,42.7,1.3,100.3,52,48,15:02,722,0:59,48,1,1,0,10,8,2,0,0.042,11
Ryan O'Reilly,19,COL,C,0.35,0.18,0.18,1.61,119,10.9,181,65.7,3.6,97.8,40.4,59.6,16:03,1188,0:37,74,13,10,2,13,10,2,0.027,0.027,26
Taylor Hall,19,EDM,LW,0.65,0.34,0.31,2.86,186,11.8,363,51.2,5.4,99.6,52.4,47.6,18:13,1184,2:43,65,22,14,8,20,17,3,0.123,0.046,42
Tyler Seguin,19,BOS,C,0.3,0.15,0.15,1.77,131,8.4,207,63.3,-4.5,100,51.2,48.8,12:13,904,1:21,74,11,10,1,11,9,2,0.014,0.027,22
Andrei Loktionov,20,LAK,C,0.37,0.21,0.16,1.37,26,15.4,54,48.1,-2.8,103.8,52.9,47.1,14:46,280,2:34,19,4,4,0,3,2,1,0,0.053,7
Brandon McMillan,20,ANA,LW,0.35,0.18,0.17,1.28,77,14.3,133,57.9,-7.9,99.3,52.5,47.5,14:04,844,0:23,60,11,7,2,10,7,1,0.033,0.017,21
Derek Stepan,20,NYR,C,0.55,0.26,0.29,2.02,166,12.7,309,53.7,2.9,100.5,64,36,16:27,1348,2:22,82,21,18,3,24,17,7,0.037,0.085,45
Dmitry Kulikov,20,FLA,D,0.36,0.08,0.28,1.15,83,7.2,213,39,-0.3,99.3,52.9,47.1,19:57,1436,2:36,72,6,5,1,20,16,4,0.014,0.056,26
Erik Karlsson,20,OTT,D,0.6,0.17,0.43,2.43,182,7.1,375,48.5,0.3,96.6,57.3,42.7,23:31,1764,3:39,75,13,9,4,32,14,17,0.053,0.227,45
John Tavares,20,NYI,C,0.85,0.37,0.48,3.08,243,11.9,404,60.1,2,98.6,55.6,44.4,19:15,1521,3:29,79,29,20,9,38,23,15,0.114,0.19,67
Jordan Caron,20,BOS,RW,0.3,0.13,0.17,1.17,27,11.1,49,55.1,-5,104,49.3,50.7,12:40,291,0:04,23,3,3,0,4,4,0,0,0,7
