,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Oliver Kylington,18,CGY,D,0,0,0,1,1,0,2,50,-14.8,112.3,0,100,17:22,16:43,0:38,1,0,0,0,0,0,0,0,0,0
Daniel Sprong,18,PIT,RW,0.11,0.11,0,1.28,23,8.7,43,53.5,-5.1,99,53,47,8:44,8:15,0:24,18,2,2,0,0,0,0,0,0,2
Pavel Zacha,18,NJD,C,2,0,2,3,3,0,4,75,7.3,140,33.3,66.7,16:51,11:42,4:14,1,0,0,0,2,2,0,0,0,2
Sam Bennett,19,CGY,C,0.47,0.23,0.23,1.77,136,13.2,240,56.7,0.9,98.2,54.7,45.3,15:09,13:09,1:57,77,18,15,3,18,13,5,0.039,0.065,36
Nikolaj Ehlers,19,WPG,RW,0.53,0.21,0.32,2.32,167,9,304,54.9,3.9,99.1,56.3,43.7,16:06,13:46,2:18,72,15,11,4,23,16,7,0.056,0.097,38
Jack Eichel,19,BUF,C,0.69,0.3,0.4,2.94,238,10.1,434,54.8,0.2,99.4,55.1,44.9,19:07,15:42,3:02,81,24,16,8,32,19,13,0.099,0.16,56
Aaron Ekblad,19,FLA,D,0.46,0.19,0.27,2.33,182,8.2,324,56.2,3.8,101.7,55.6,44.4,21:41,18:06,2:50,78,15,12,3,21,15,6,0.038,0.077,36
Kevin Fiala,19,NSH,LW,0.2,0.2,0,2.2,11,9.1,19,57.9,8.1,99.6,76.5,23.5,13:09,12:30,0:38,5,1,1,0,0,0,0,0,0,1
Noah Hanifin,19,CAR,D,0.28,0.05,0.23,1.54,122,3.3,280,43.6,-1.4,98.2,55.8,44.2,17:54,15:26,2:22,79,4,3,1,18,12,6,0.013,0.076,22
Kasperi Kapanen,19,TOR,RW,0,0,0,1.56,14,0,23,60.9,2.9,95,75.7,24.3,14:47,13:01,1:44,9,0,0,0,0,0,0,0,0,0
Dylan Larkin,19,DET,C,0.56,0.29,0.28,2.76,221,10.4,390,56.7,0.9,102.6,61,39,16:33,14:23,2:02,80,23,19,4,22,21,1,0.05,0.013,45
Jared McCann,19,VAN,C,0.26,0.13,0.13,1.54,106,8.5,199,53.3,0,99.7,53.5,46.5,12:31,11:21,1:07,69,9,8,1,9,7,2,0.014,0.029,18
Connor McDavid,19,EDM,C,1.07,0.36,0.71,2.33,105,15.2,156,67.3,6.2,98.2,53.5,46.5,18:53,15:08,2:57,45,16,13,3,32,21,11,0.067,0.244,48
Sonny Milano,19,CBJ,LW,0.33,0,0.33,0.67,2,0,5,40,10,105.4,65.4,34.6,13:23,13:22,0:00,3,0,0,0,1,1,0,0,0,1
William Nylander,19,TOR,C,0.59,0.27,0.32,1.95,43,14,99,43.4,4.9,101.3,62,38,16:20,13:36,2:42,22,6,5,1,7,5,2,0.045,0.091,13
David Pastrnak,19,BOS,RW,0.51,0.29,0.22,2.12,108,13.9,173,61.8,3.2,100.4,51.3,48.8,13:57,13:29,0:28,51,15,15,0,11,10,1,0,0.02,26
Mikko Rantanen,19,COL,RW,0,0,0,1,9,0,17,52.9,-7.1,85.4,47.7,52.3,8:57,8:55,0:00,9,0,0,0,0,0,0,0,0,0
Jake Virtanen,19,VAN,RW,0.24,0.13,0.11,1.71,94,7.4,174,54,3.3,98.5,52.7,47.3,11:34,10:39,0:54,55,7,6,1,6,6,0,0.018,0,13
Justin Bailey,20,BUF,RW,0,0,0,2.75,22,0,28,78.6,-1.2,91.9,52.9,47.1,11:36,11:19,0:16,8,0,0,0,0,0,0,0,0,0
Aleksander Barkov,20,FLA,C,0.89,0.42,0.47,2.59,171,16.4,255,67.1,-0.9,103.4,46.2,53.8,19:26,14:47,2:50,66,28,18,9,31,23,7,0.136,0.106,59
Chris Bigras,20,COL,D,0.1,0.03,0.06,0.68,21,4.8,47,44.7,-1.6,100.3,60.4,39.6,13:21,12:46,0:01,31,1,1,0,2,2,0,0,0,3
Oliver Bjorkstrand,20,CBJ,RW,0.67,0.33,0.33,2.08,25,16,44,56.8,-0.6,105.3,50.8,49.2,15:59,13:48,2:07,12,4,4,0,4,4,0,0,0,8
Andre Burakovsky,20,WSH,LW,0.48,0.22,0.27,1.59,126,13.5,238,52.9,0.8,100.1,57.9,42.1,13:01,12:12,0:48,79,17,17,0,21,17,4,0,0.051,38
Laurent Dauphin,20,ARI,C,0.13,0.13,0,0.88,7,14.3,16,43.8,-0.2,102.5,55.6,44.4,11:19,10:18,0:06,8,1,1,0,0,0,0,0,0,1
Jacob de La Rose,20,MTL,LW,0.05,0,0.05,0.91,20,0,45,44.4,-9.4,97.7,25.5,74.5,12:26,11:04,0:02,22,0,0,0,1,1,0,0,0,1
Chase De Leo,20,WPG,C,0,0,0,1,2,0,0,,-29.9,116.7,33.3,66.7,9:25,9:00,0:24,2,0,0,0,0,0,0,0,0,0
Jason Dickinson,20,DAL,C,1,1,0,2,2,50,3,66.7,-13.1,125,100,0,11:55,11:55,0:00,1,1,1,0,0,0,0,0,0,1
Max Domi,20,ARI,LW,0.64,0.22,0.42,1.93,156,11.5,297,52.5,-0.5,102,58,42,16:22,13:04,2:59,81,18,15,3,34,21,12,0.037,0.148,52
Leon Draisaitl,20,EDM,C,0.71,0.26,0.44,1.85,133,14.3,214,62.1,4.5,99.1,55,45,18:03,15:26,2:33,72,19,14,5,32,28,4,0.069,0.056,51
Jonathan Drouin,20,TBL,LW,0.48,0.19,0.29,1.19,25,16,56,44.6,0.8,104.7,58.7,41.3,14:27,12:24,2:00,21,4,4,0,6,4,2,0,0.095,10
Anthony Duclair,20,ARI,LW,0.54,0.25,0.3,1.3,105,19,183,56.8,3.9,103.4,61.3,38.7,14:22,11:30,2:49,81,20,12,8,24,20,4,0.099,0.049,44
Robby Fabbri,20,STL,C,0.51,0.25,0.26,1.58,114,15.8,193,59.1,1.8,99.1,53.3,46.7,13:19,11:51,1:26,72,18,16,2,19,13,6,0.028,0.083,37
Hudson Fasching,20,BUF,RW,0.29,0.14,0.14,1.29,9,11.1,15,60,7,105.1,56.4,43.6,11:31,11:31,0:00,7,1,1,0,1,1,0,0,0,2
Frederik Gauthier,20,TOR,C,0.14,0,0.14,0.43,3,0,7,42.9,-12,90.9,39.7,60.3,13:51,10:48,0:02,7,0,0,0,1,0,0,0,0,1
Nikolay Goldobin,20,SJS,LW,0.22,0.11,0.11,0.78,7,14.3,16,43.8,-6.8,104.6,43.8,56.3,11:11,11:08,0:01,9,1,1,0,1,1,0,0,0,2
Bo Horvat,20,VAN,C,0.49,0.2,0.29,1.89,155,10.3,245,63.3,-2.1,97.1,43,57,17:08,13:04,1:47,82,16,12,4,24,16,8,0.049,0.098,40
Curtis Lazar,20,OTT,RW,0.26,0.08,0.18,1.03,78,7.7,141,55.3,-6.6,100.3,42.6,57.4,13:52,11:35,0:50,76,6,4,1,14,10,1,0.013,0.013,20
Brett Lernout,20,MTL,D,0,0,0,0,0,,0,,-17.3,100,33.3,66.7,6:30,6:30,0:00,1,0,0,0,0,0,0,0,0,0
Tobias Lindberg,20,TOR,RW,0.33,0,0.33,2,12,0,25,48,3.7,102.9,58,42,15:50,13:16,1:55,6,0,0,0,2,2,0,0,0,2
Nathan MacKinnon,20,COL,C,0.72,0.29,0.43,3.4,245,8.6,415,58.6,4.3,99.7,57.8,42.2,18:52,15:23,2:54,72,21,14,7,31,21,9,0.097,0.125,52
Michael McCarron,20,MTL,RW,0.1,0.05,0.05,2.05,41,2.4,56,73.2,-4.1,93.8,42.5,57.5,11:41,10:27,1:13,20,1,1,0,1,1,0,0,0,2
Josh Morrissey,20,WPG,D,0,0,0,1,1,0,1,100,-10.3,100,80,20,15:54,15:45,0:09,1,0,0,0,0,0,0,0,0,0
Mirco Mueller,20,SJS,D,0,0,0,0.73,8,0,19,42.1,-0.4,92.2,54.4,45.6,10:36,10:14,0:21,11,0,0,0,0,0,0,0,0,0
Valeri Nichushkin,20,DAL,RW,0.37,0.11,0.25,1.76,139,6.5,246,56.5,-0.1,100.6,53.8,46.2,13:56,12:56,0:59,79,9,8,1,20,19,1,0.013,0.013,29
